,,,,,,,,,
,,,,,,,,,
,No,Data,Sumber,Tokenisasi, Stopword Removal,Stemming,Hasil Preprocessing,,Keyword = Imunisasi Balita
,1,"Gara-gara liat tiktok dampak dari imunisasi banyak yang sakit ada ibu kekeh TIDAK MAU IMUNISASI ANAKNYA LAGI, aku tercengang.anaknya udah umur 4 bulan baru 1x imunisasi katanya habis imunisasi demam dan dia gamau anaknya imunisasi lagi, gimana jelasinya sama ibu itu kalau imunisasi penting??",threads,"gara, gara, liat, tiktok, dampak, dari, imunisasi, banyak, yang, sakit, ada, ibu, kekeh, tidak, mau, imunisasi, anaknya, lagi, aku, tercengang, anaknya, udah, umur, bulan, baru, x, imunisasi, katanya, habis, imunisasi, demam, dan, dia, gamau, anaknya, imunisasi, lagi, gimana, jelasinya, sama, ibu, itu, kalau, imunisasi, penting","gara, gara, liat, tiktok, dampak, imunisasi, sakit, kekeh, imunisasi, anaknya, tercengang, anaknya, umur, x, imunisasi, habis, imunisasi, demam, gamau, anaknya, imunisasi, gimana, jelasinya, imunisasi","gara, gara, liat, tiktok, dampak, imunisas, sakit, keh, imunisas, anak, cengang, anak, umur, x, imunisas, habis, imunisas, demam, gamau, anak, imunisas, gimana, jelas, imunisas",gara gara liat tiktok dampak imunisas sakit keh imunisas anak cengang anak umur x imunisas habis imunisas demam gamau anak imunisas gimana jelas imunisas,,
,2,"Ini dokter2 pada nyalahin antivax, apa ga ada yang kepikiran buat edukasi insert label vaksin aja apa ya? Soal manfaat vaksin, siapa sih yang ga tau? Yang kita ga ngerti kan efek samping selain demam tuh apa aja dan gimana solusinya? Kenapa pada ngegas dan marah2 sih? Jadi berasa kayak ada something fishy ya gak sih?
Kalopun kasus penyakitnya naik, coba bandingkan ama puluhan juta anak Indo yg sehat2 aja kan sama aja rationya? Biasa yg kena KIPI dianggep cuma kejadian rare 0,000..% kan?",threads,"ini, dokter, pada, nyalahin, antivax, apa, ga, ada, yang, kepikiran, buat, edukasi, insert, label, vaksin, aja, apa, ya, soal, manfaat, vaksin, siapa, sih, yang, ga, tau, yang, kita, ga, ngerti, kan, efek, samping, selain, demam, tuh, apa, aja, dan, gimana, solusinya, kenapa, pada, ngegas, dan, marah, sih, jadi, berasa, kayak, ada, something, fishy, ya, gak, sih, kalopun, kasus, penyakitnya, naik, coba, bandingkan, ama, puluhan, juta, anak, indo, yg, sehat, aja, kan, sama, aja, rationya, biasa, yg, kena, kipi, dianggep, cuma, kejadian, rare, kan","dokter, nyalahin, antivax, kepikiran, edukasi, insert, label, vaksin, manfaat, vaksin, tau, ngerti, efek, samping, demam, tuh, gimana, solusinya, ngegas, marah, berasa, kayak, something, fishy, kalopun, penyakitnya, coba, bandingkan, ama, puluhan, juta, anak, indo, sehat, rationya, kena, kipi, dianggep, kejadian, rare","dokter, nyalahin, antivax, pikir, edukas, insert, label, vaksin, manfaat, vaksin, tau, ngert, efek, samping, demam, tuh, gimana, solus, ngegas, marah, asa, kayak, something, fishy, kalo, tyakit, coba, banding, ama, puluh, juta, anak, indo, hat, ratio, kena, kipi, anggep, jadi, rare",dokter nyalahin antivax pikir edukas insert label vaksin manfaat vaksin tau ngert efek samping demam tuh gimana solus ngegas marah asa kayak something fishy kalo tyakit coba banding ama puluh juta anak indo hat ratio kena kipi anggep jadi rare,,
,3,"Anak-anak ibuku vaksinnya lengkap, padahal kakakku lahir tahun 80an.
Semua vaksin dikejar sampai ke kabupaten/kota tetangga. Cari program imunisasi pemerintah.
Sebuah privilege punya ibu berpendidikan itu bisa dirasakan di setiap jengkal kehidupan kami anak-anaknya. Warisannya bukan harta tapi pola didik dan pola asuh.",threads,"anak, anak, ibuku, vaksinnya, lengkap, padahal, kakakku, lahir, tahun, an, semua, vaksin, dikejar, sampai, ke, kabupaten, kota, tetangga, cari, program, imunisasi, pemerintah, sebuah, privilege, punya, ibu, berpendidikan, itu, bisa, dirasakan, di, setiap, jengkal, kehidupan, kami, anak, anaknya, warisannya, bukan, harta, tapi, pola, didik, dan, pola, asuh","anak, anak, ibuku, vaksinnya, lengkap, kakakku, lahir, an, vaksin, dikejar, kabupaten, kota, tetangga, cari, program, imunisasi, pemerintah, privilege, berpendidikan, dirasakan, jengkal, kehidupan, anak, anaknya, warisannya, harta, pola, didik, pola, asuh","anak, anak, ibu, vaksin, lengkap, kakak, lahir, an, vaksin, kejar, kabupaten, kota, tetangga, cari, program, imunisas, perin, privilege, pendidi, rasa, jengkal, hidup, anak, anak, waris, harta, pola, dik, pola, asuh",anak anak ibu vaksin lengkap kakak lahir an vaksin kejar kabupaten kota tetangga cari program imunisas perin privilege pendidi rasa jengkal hidup anak anak waris harta pola dik pola asuh,,
,4,"Baru selesai imunisasi campak kemarin. Tetap menunaikan kewajiban sebagai orangtua dan memberikan hak anak 🫶
Semoga Anak-anakku diberi kesehatan dan terhindar dari penyakit.. Aamiin
MasyaAllah ta barakallah..  
",threads,"baru, selesai, imunisasi, campak, kemarin, tetap, menunaikan, kewajiban, sebagai, orangtua, dan, memberikan, hak, anak, semoga, anak, anakku, diberi, kesehatan, dan, terhindar, dari, penyakit, aamiin, masyaallah, ta, barakallah","selesai, imunisasi, campak, kemarin, menunaikan, kewajiban, orangtua, hak, anak, semoga, anak, anakku, kesehatan, terhindar, penyakit, aamiin, masyaallah, ta, barakallah","lesa, imunisas, campak, marin, tunai, wajib, orangtua, hak, anak, moga, anak, anak, sehat, hindar, tyakit, aamiin, masyaal, ta, barakal",lesa imunisas campak marin tunai wajib orangtua hak anak moga anak anak sehat hindar tyakit aamiin masyaal ta barakal,,
,5,"Catch Up imunisasi kejar MR (Measles Rubella) di Posyandu ILP Ngudi Waluyo 1 desa Kendengsidialit
Yuk bagi bapak ibu yg punya anak balita yg belum lengkap imunisasinya bs di kejar, bisa datang k Posyandu wilayah masing-masing atau hubungi bidan desa setempat..
#vaksinasi #imunisasianak #imunisasibayi #imunisasidasar #imunisasibalita ",threads,"catch, up, imunisasi, kejar, mr, measles, rubella, di, posyandu, ilp, ngudi, waluyo, desa, kendengsidialit, yuk, bagi, bapak, ibu, yg, punya, anak, balita, yg, belum, lengkap, imunisasinya, bs, di, kejar, bisa, datang, k, posyandu, wilayah, masing, masing, atau, hubungi, bidan, desa, setempat","catch, up, imunisasi, kejar, mr, measles, rubella, posyandu, ilp, ngudi, waluyo, desa, kendengsidialit, yuk, anak, balita, lengkap, imunisasinya, kejar, k, posyandu, wilayah, hubungi, bidan, desa","catch, up, imunisas, jar, mr, asles, rubella, posyandu, ilp, ngud, waluyo, desa, ndengsidialit, yuk, anak, balita, lengkap, imunisas, jar, k, posyandu, wilayah, hubung, bidan, desa",catch up imunisas jar mr asles rubella posyandu ilp ngud waluyo desa ndengsidialit yuk anak balita lengkap imunisas jar k posyandu wilayah hubung bidan desa,,
,6,"masih heran dengan ibu ibu yang ga imunisasi anaknya dengan dalih
""anakku ga imunisasi sehat sehat aja tuh""
padahal anaknya sehat karena berada di lingkungan anak anak yg imunisasi 😭 😔  ",threads,"masih, heran, dengan, ibu, ibu, yang, ga, imunisasi, anaknya, dengan, dalih, anakku, ga, imunisasi, sehat, sehat, aja, tuh, padahal, anaknya, sehat, karena, berada, di, lingkungan, anak, anak, yg, imunisasi","heran, imunisasi, anaknya, dalih, anakku, imunisasi, sehat, sehat, tuh, anaknya, sehat, lingkungan, anak, anak, imunisasi","heran, imunisas, anak, dalih, anak, imunisas, hat, hat, tuh, anak, hat, lingkung, anak, anak, imunisas",heran imunisas anak dalih anak imunisas hat hat tuh anak hat lingkung anak anak imunisas,,
,7,"Ditengah gempuran berita hoax tentang vaksin,
Meanwhile pasien saya:
💃bulan depan bisa vaksin apalagi ya dok?
Cukup bu, vaksin anakmu dah lengkap, tahun depan lagi aja vaksinnya buu 🫣😂  ",threads,"ditengah, gempuran, berita, hoax, tentang, vaksin, meanwhile, pasien, saya, bulan, depan, bisa, vaksin, apalagi, ya, dok, cukup, bu, vaksin, anakmu, dah, lengkap, tahun, depan, lagi, aja, vaksinnya, buu","ditengah, gempuran, berita, hoax, vaksin, meanwhile, pasien, vaksin, dok, bu, vaksin, anakmu, lengkap, vaksinnya, buu","tengah, gempur, ita, hoax, vaksin, anwhile, pasien, vaksin, dok, bu, vaksin, anak, lengkap, vaksin, buu",tengah gempur ita hoax vaksin anwhile pasien vaksin dok bu vaksin anak lengkap vaksin buu,,
,8,"Stop Vaksin, anak saya salah satu korban Vaksin , setelah vaksin bawaannya flu melulu , kalau keadaan anakku seperti ini siapa yang tanggung jawab, Pak Menteri tolong jngn di korbankan rakyatnya, Keluar dari WHO , Indonesia bisa mengobati dirinya sendiri, kembangkan obat herbal , indonesia kaya dengan rempah2, Bapak aja duluan Uji Coba",threads,"stop, vaksin, anak, saya, salah, satu, korban, vaksin, setelah, vaksin, bawaannya, flu, melulu, kalau, keadaan, anakku, seperti, ini, siapa, yang, tanggung, jawab, pak, menteri, tolong, jngn, di, korbankan, rakyatnya, keluar, dari, who, indonesia, bisa, mengobati, dirinya, sendiri, kembangkan, obat, herbal, indonesia, kaya, dengan, rempah, bapak, aja, duluan, uji, coba","stop, vaksin, anak, salah, korban, vaksin, vaksin, bawaannya, flu, melulu, anakku, tanggung, menteri, tolong, jngn, korbankan, rakyatnya, who, indonesia, mengobati, kembangkan, obat, herbal, indonesia, kaya, rempah, duluan, uji, coba","stop, vaksin, anak, sa, korb, vaksin, vaksin, bawa, flu, lulu, anak, tanggung, ter, tolong, jngn, korban, rakyat, who, indonesia, tgobat, mbang, obat, herbal, indonesia, kaya, rempah, dulu, uji, coba",stop vaksin anak sa korb vaksin vaksin bawa flu lulu anak tanggung ter tolong jngn korban rakyat who indonesia tgobat mbang obat herbal indonesia kaya rempah dulu uji coba,,
,9,"Lagi dan lagi, pasien anak campak usia 4 tahun, riwayat imunisasi tidak pernah sama sekali. Lebih parahnya di TK-nya semua lagi demam tinggi. Anak tetangganya juga kena campak gamau dibawa ke RS.
Gamau vaksin krn katanya sempat viral kandungan vaksin mengandung blablabla.
BPJS PBI",threads,"lagi, dan, lagi, pasien, anak, campak, usia, tahun, riwayat, imunisasi, tidak, pernah, sama, sekali, lebih, parahnya, di, tk, nya, semua, lagi, demam, tinggi, anak, tetangganya, juga, kena, campak, gamau, dibawa, ke, rs, gamau, vaksin, krn, katanya, sempat, viral, kandungan, vaksin, mengandung, blablabla, bpjs, pbi","pasien, anak, campak, usia, riwayat, imunisasi, parahnya, tk, nya, demam, anak, tetangganya, kena, campak, gamau, dibawa, rs, gamau, vaksin, viral, kandungan, vaksin, mengandung, blablabla, bpjs, pbi","pasien, anak, campak, usia, riwayat, imunisas, parah, tk, nya, demam, anak, tetangga, kena, campak, gamau, bawa, rs, gamau, vaksin, viral, kandung, vaksin, tgandung, blablabla, bpjs, pbi",pasien anak campak usia riwayat imunisas parah tk nya demam anak tetangga kena campak gamau bawa rs gamau vaksin viral kandung vaksin tgandung blablabla bpjs pbi,,
,10,"Imunisasi itu hak anak, bukan hak ibu. Ingat ya, bukan si ibu yang diimunisasi, tapi si anak. Anak kita berhak sehat. Kasian tau mak ah..  
",threads,"imunisasi, itu, hak, anak, bukan, hak, ibu, ingat, ya, bukan, si, ibu, yang, diimunisasi, tapi, si, anak, anak, kita, berhak, sehat, kasian, tau, mak, ah","imunisasi, hak, anak, hak, si, diimunisasi, si, anak, anak, berhak, sehat, kasian, tau, mak, ah","imunisas, hak, anak, hak, si, imunisas, si, anak, anak, hak, hat, kasi, tau, mak, ah",imunisas hak anak hak si imunisas si anak anak hak hat kasi tau mak ah,,
